Zip,YEAR,INCOME,NUMBER
91963,2010,"$45,000 to $59,999",63
91963,2010,"$60,000 to $74,999",28
91963,2010,"$75,000 to $99,999",66
91963,2010,"$100,000 to $124,999",34
91963,2010,"$125,000 to $149,999",15
91963,2010,"$150,000 to $199,999",9
91963,2010,"$200,000 or more",4
91977,2010,"Less than $15,000",1456
91977,2010,"$15,000 to $29,999",2512
91977,2010,"$30,000 to $44,999",2673
91977,2010,"$45,000 to $59,999",2230
91977,2010,"$60,000 to $74,999",2470
91977,2010,"$75,000 to $99,999",2951
91977,2010,"$100,000 to $124,999",1504
91977,2010,"$125,000 to $149,999",1330
91977,2010,"$150,000 to $199,999",850
91977,2010,"$200,000 or more",590
91978,2010,"Less than $15,000",237
91978,2010,"$15,000 to $29,999",264
91978,2010,"$30,000 to $44,999",368
91978,2010,"$45,000 to $59,999",238
91978,2010,"$60,000 to $74,999",359
91978,2010,"$75,000 to $99,999",524
91978,2010,"$100,000 to $124,999",342
91978,2010,"$125,000 to $149,999",212
91978,2010,"$150,000 to $199,999",136
91978,2010,"$200,000 or more",66
91980,2010,"Less than $15,000",8
91980,2010,"$15,000 to $29,999",8
91980,2010,"$30,000 to $44,999",8
91980,2010,"$45,000 to $59,999",18
91980,2010,"$60,000 to $74,999",2
91980,2010,"$75,000 to $99,999",10
91980,2010,"$100,000 to $124,999",2
91980,2010,"$125,000 to $149,999",1
91980,2010,"$150,000 to $199,999",0
91980,2010,"$200,000 or more",0
92003,2010,"Less than $15,000",91
92003,2010,"$15,000 to $29,999",205
92003,2010,"$30,000 to $44,999",193
92003,2010,"$45,000 to $59,999",139
92003,2010,"$60,000 to $74,999",211
92003,2010,"$75,000 to $99,999",239
92003,2010,"$100,000 to $124,999",108
92003,2010,"$125,000 to $149,999",107
92003,2010,"$150,000 to $199,999",122
92003,2010,"$200,000 or more",167
92004,2010,"Less than $15,000",284
92004,2010,"$15,000 to $29,999",430
92004,2010,"$30,000 to $44,999",174
92004,2010,"$45,000 to $59,999",279
92004,2010,"$60,000 to $74,999",331
92004,2010,"$75,000 to $99,999",198
92004,2010,"$100,000 to $124,999",27
92004,2010,"$125,000 to $149,999",88
92004,2010,"$150,000 to $199,999",18
92004,2010,"$200,000 or more",3
92007,2010,"Less than $15,000",406
92007,2010,"$15,000 to $29,999",285
92007,2010,"$30,000 to $44,999",361
92007,2010,"$45,000 to $59,999",503
92007,2010,"$60,000 to $74,999",411
92007,2010,"$75,000 to $99,999",533
92007,2010,"$100,000 to $124,999",616
92007,2010,"$125,000 to $149,999",384
92007,2010,"$150,000 to $199,999",439
92007,2010,"$200,000 or more",518
92008,2010,"Less than $15,000",1040
92008,2010,"$15,000 to $29,999",1609
92008,2010,"$30,000 to $44,999",1749
92008,2010,"$45,000 to $59,999",1308
92008,2010,"$60,000 to $74,999",1301
92008,2010,"$75,000 to $99,999",1493
92008,2010,"$100,000 to $124,999",956
92008,2010,"$125,000 to $149,999",558
92008,2010,"$150,000 to $199,999",821
92008,2010,"$200,000 or more",742
92009,2010,"Less than $15,000",852
92009,2010,"$15,000 to $29,999",626
92009,2010,"$30,000 to $44,999",1507
92009,2010,"$45,000 to $59,999",1132
92009,2010,"$60,000 to $74,999",1159
92009,2010,"$75,000 to $99,999",1825
92009,2010,"$100,000 to $124,999",1908
92009,2010,"$125,000 to $149,999",1306
92009,2010,"$150,000 to $199,999",1798
92009,2010,"$200,000 or more",2426
92010,2010,"Less than $15,000",233
92010,2010,"$15,000 to $29,999",486
92010,2010,"$30,000 to $44,999",678
92010,2010,"$45,000 to $59,999",533
92010,2010,"$60,000 to $74,999",517
92010,2010,"$75,000 to $99,999",795
92010,2010,"$100,000 to $124,999",660
92010,2010,"$125,000 to $149,999",538
92010,2010,"$150,000 to $199,999",587
92010,2010,"$200,000 or more",433
92011,2010,"Less than $15,000",468
92011,2010,"$15,000 to $29,999",901
92011,2010,"$30,000 to $44,999",754
92011,2010,"$45,000 to $59,999",641
92011,2010,"$60,000 to $74,999",821
92011,2010,"$75,000 to $99,999",1211
92011,2010,"$100,000 to $124,999",918
92011,2010,"$125,000 to $149,999",949
92011,2010,"$150,000 to $199,999",1079
92011,2010,"$200,000 or more",1315
92014,2010,"Less than $15,000",302
92014,2010,"$15,000 to $29,999",270
92014,2010,"$30,000 to $44,999",331
92014,2010,"$45,000 to $59,999",516
92014,2010,"$60,000 to $74,999",301
92014,2010,"$75,000 to $99,999",698
92014,2010,"$100,000 to $124,999",520
92014,2010,"$125,000 to $149,999",471
92014,2010,"$150,000 to $199,999",713
92014,2010,"$200,000 or more",1888
92019,2010,"Less than $15,000",1176
92019,2010,"$15,000 to $29,999",1364
92019,2010,"$30,000 to $44,999",2079
92019,2010,"$45,000 to $59,999",1739
92019,2010,"$60,000 to $74,999",1343
92019,2010,"$75,000 to $99,999",2307
92019,2010,"$100,000 to $124,999",1490
92019,2010,"$125,000 to $149,999",945
92019,2010,"$150,000 to $199,999",1357
92019,2010,"$200,000 or more",1167
92020,2010,"Less than $15,000",2539
92020,2010,"$15,000 to $29,999",3520
92020,2010,"$30,000 to $44,999",3274
92020,2010,"$45,000 to $59,999",2560
92020,2010,"$60,000 to $74,999",1960
92020,2010,"$75,000 to $99,999",2241
92020,2010,"$100,000 to $124,999",1579
92020,2010,"$125,000 to $149,999",997
92020,2010,"$150,000 to $199,999",719
92020,2010,"$200,000 or more",929
92021,2010,"Less than $15,000",2540
92021,2010,"$15,000 to $29,999",3786
92021,2010,"$30,000 to $44,999",3472
92021,2010,"$45,000 to $59,999",3211
92021,2010,"$60,000 to $74,999",2612
92021,2010,"$75,000 to $99,999",3362
92021,2010,"$100,000 to $124,999",1743
92021,2010,"$125,000 to $149,999",747
92021,2010,"$150,000 to $199,999",792
92021,2010,"$200,000 or more",500
92024,2010,"Less than $15,000",1565
92024,2010,"$15,000 to $29,999",1920
92024,2010,"$30,000 to $44,999",2452
92024,2010,"$45,000 to $59,999",1853
92024,2010,"$60,000 to $74,999",1622
92024,2010,"$75,000 to $99,999",2542
